path,subject,exercise,quality,view,split
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_009_bicep_curl_bad_front.mp4,009,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_010_bicep_curl_bad_front.mp4,010,bicep_curl,bad,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_011_bicep_curl_bad_front.mp4,011,bicep_curl,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_012_bicep_curl_bad_front.mp4,012,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_013_bicep_curl_bad_front.mp4,013,bicep_curl,bad,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_014_bicep_curl_bad_front.mp4,014,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_015_bicep_curl_bad_front.mp4,015,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_016_bicep_curl_bad_front.mp4,016,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_017_bicep_curl_bad_front.mp4,017,bicep_curl,bad,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_018_bicep_curl_bad_front.mp4,018,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_019_bicep_curl_bad_front.mp4,019,bicep_curl,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_020_bicep_curl_bad_front.mp4,020,bicep_curl,bad,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_021_bicep_curl_bad_front.mp4,021,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_022_bicep_curl_bad_front.mp4,022,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_023_bicep_curl_bad_front.mp4,023,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_024_bicep_curl_bad_front.mp4,024,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\front\subject_026_bicep_curl_bad_front.mp4,026,bicep_curl,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_001_bicep_curl_bad_side.mp4,001,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_002_bicep_curl_bad_side.mp4,002,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_003_bicep_curl_bad_side.mp4,003,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_004_bicep_curl_bad_side.mp4,004,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_005_bicep_curl_bad_side.mp4,005,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_006_bicep_curl_bad_side.mp4,006,bicep_curl,bad,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_007_bicep_curl_bad_side.mp4,007,bicep_curl,bad,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_008_bicep_curl_bad_side.mp4,008,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_009_bicep_curl_bad_side.mp4,009,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_010_bicep_curl_bad_side.mp4,010,bicep_curl,bad,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_011_bicep_curl_bad_side.mp4,011,bicep_curl,bad,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_012_bicep_curl_bad_side.mp4,012,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_013_bicep_curl_bad_side.mp4,013,bicep_curl,bad,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_014_bicep_curl_bad_side.mp4,014,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_015_bicep_curl_bad_side.mp4,015,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_016_bicep_curl_bad_side.mp4,016,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_017_bicep_curl_bad_side.mp4,017,bicep_curl,bad,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_018_bicep_curl_bad_side.mp4,018,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_019_bicep_curl_bad_side.mp4,019,bicep_curl,bad,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_020_bicep_curl_bad_side.mp4,020,bicep_curl,bad,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_021_bicep_curl_bad_side.mp4,021,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_022_bicep_curl_bad_side.mp4,022,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_023_bicep_curl_bad_side.mp4,023,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_024_bicep_curl_bad_side.mp4,024,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\side\subject_026_bicep_curl_bad_side.mp4,026,bicep_curl,bad,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_001_bicep_curl_good_diagonal.mp4,001,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_002_bicep_curl_good_diagonal.mp4,002,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_003_bicep_curl_good_diagonal.mp4,003,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_004_bicep_curl_good_diagonal.mp4,004,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_005_bicep_curl_good_diagonal.mp4,005,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_006_bicep_curl_good_diagonal.mp4,006,bicep_curl,good,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_007_bicep_curl_good_diagonal.mp4,007,bicep_curl,good,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_008_bicep_curl_good_diagonal.mp4,008,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_009_bicep_curl_good_diagonal.mp4,009,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_010_bicep_curl_good_diagonal.mp4,010,bicep_curl,good,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_011_bicep_curl_good_diagonal.mp4,011,bicep_curl,good,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_012_bicep_curl_good_diagonal.mp4,012,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_013_bicep_curl_good_diagonal.mp4,013,bicep_curl,good,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_014_bicep_curl_good_diagonal.mp4,014,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_015_bicep_curl_good_diagonal.mp4,015,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_016_bicep_curl_good_diagonal.mp4,016,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_017_bicep_curl_good_diagonal.mp4,017,bicep_curl,good,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_018_bicep_curl_good_diagonal.mp4,018,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_019_bicep_curl_good_diagonal.mp4,019,bicep_curl,good,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_020_bicep_curl_good_diagonal.mp4,020,bicep_curl,good,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_021_bicep_curl_good_diagonal.mp4,021,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_022_bicep_curl_good_diagonal.mp4,022,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_023_bicep_curl_good_diagonal.mp4,023,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_024_bicep_curl_good_diagonal.mp4,024,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\diagonal\subject_026_bicep_curl_good_diagonal.mp4,026,bicep_curl,good,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_001_bicep_curl_good_front.mp4,001,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_002_bicep_curl_good_front.mp4,002,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_003_bicep_curl_good_front.mp4,003,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_004_bicep_curl_good_front.mp4,004,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_005_bicep_curl_good_front.mp4,005,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_006_bicep_curl_good_front.mp4,006,bicep_curl,good,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_007_bicep_curl_good_front.mp4,007,bicep_curl,good,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_008_bicep_curl_good_front.mp4,008,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_009_bicep_curl_good_front.mp4,009,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_010_bicep_curl_good_front.mp4,010,bicep_curl,good,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_011_bicep_curl_good_front.mp4,011,bicep_curl,good,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_012_bicep_curl_good_front.mp4,012,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_013_bicep_curl_good_front.mp4,013,bicep_curl,good,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_014_bicep_curl_good_front.mp4,014,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_015_bicep_curl_good_front.mp4,015,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_016_bicep_curl_good_front.mp4,016,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_017_bicep_curl_good_front.mp4,017,bicep_curl,good,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_018_bicep_curl_good_front.mp4,018,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_019_bicep_curl_good_front.mp4,019,bicep_curl,good,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_020_bicep_curl_good_front.mp4,020,bicep_curl,good,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_021_bicep_curl_good_front.mp4,021,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_022_bicep_curl_good_front.mp4,022,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_023_bicep_curl_good_front.mp4,023,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_024_bicep_curl_good_front.mp4,024,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\front\subject_026_bicep_curl_good_front.mp4,026,bicep_curl,good,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_001_bicep_curl_good_side.mp4,001,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_002_bicep_curl_good_side.mp4,002,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_003_bicep_good_side.mp4,003,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_004_bicep_curl_good_side.mp4,004,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_005_bicep_curl_good_side.mp4,005,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_006_bicep_curl_good_side.mp4,006,bicep_curl,good,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_007_bicep_curl_good_side.mp4,007,bicep_curl,good,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_008_bicep_curl_good_side.mp4,008,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_009_bicep_curl_good_side.mp4,009,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_010_bicep_curl_good_side.mp4,010,bicep_curl,good,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_011_bicep_curl_good_side.mp4,011,bicep_curl,good,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_012_bicep_curl_good_side.mp4,012,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_013_bicep_curl_good_side.mp4,013,bicep_curl,good,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_014_bicep_curl_good_side.mp4,014,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_015_bicep_curl_good_side.mp4,015,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_016_bicep_curl_good_side.mp4,016,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_017_bicep_curl_good_side.mp4,017,bicep_curl,good,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_018_bicep_curl_good_side.mp4,018,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_019_bicep_curl_good_side.mp4,019,bicep_curl,good,side,val
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_020_bicep_curl_good_side.mp4,020,bicep_curl,good,side,test
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_021_bicep_curl_good_side.mp4,021,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_022_bicep_curl_good_side.mp4,022,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_023_bicep_curl_good_side.mp4,023,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_024_bicep_curl_good_side.mp4,024,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\good\side\subject_026_bicep_curl_good_side.mp4,026,bicep_curl,good,side,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_001_push_up_bad_diagonal.mp4,001,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_002_push_up_bad_diagonal.mp4,002,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_003_push_up_bad_diagonal.mp4,003,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_004_push_up_bad_diagonal.mp4,004,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_005_push_up_bad_diagonal.mp4,005,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_006_push_up_bad_diagonal.mp4,006,push_up,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_007_push_up_bad_diagonal.mp4,007,push_up,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_008_push_up_bad_diagonal.mp4,008,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_009_push_up_bad_diagonal.mp4,009,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_010_push_up_bad_diagonal.mp4,010,push_up,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_011_push_up_bad_diagonal.mp4,011,push_up,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_012_push_up_bad_diagonal.mp4,012,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_013_push_up_bad_diagonal.mp4,013,push_up,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_014_push_up_bad_diagonal.mp4,014,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_015_push_up_bad_diagonal.mp4,015,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_016_push_up_bad_diagonal.mp4,016,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_017_push_up_bad_diagonal.mp4,017,push_up,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_018_push_up_bad_diagonal.mp4,018,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_019_push_up_bad_diagonal.mp4,019,push_up,bad,diagonal,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_020_push_up_bad_diagonal.mp4,020,push_up,bad,diagonal,test
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_021_push_up_bad_diagonal.mp4,021,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_022_push_up_bad_diagonal.mp4,022,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_023_push_up_bad_diagonal.mp4,023,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\diagonal\subject_024_push_up_bad_diagonal.mp4,024,push_up,bad,diagonal,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_001_push_up_bad_front.mp4,001,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_002_push_up_bad_front.mp4,002,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_003_push_up_bad_front.mp4,003,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_004_push_up_bad_front.mp4,004,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_005_push_up_bad_front.mp4,005,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_006_push_up_bad_front.mp4,006,push_up,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_007_push_up_bad_front.mp4,007,push_up,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_008_push_up_bad_front.mp4,008,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_009_push_up_bad_front.mp4,009,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_010_push_up_bad_front.mp4,010,push_up,bad,front,test
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_011_push_up_bad_front.mp4,011,push_up,bad,front,val
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_012_push_up_bad_front.mp4,012,push_up,bad,front,train
C:\GymProject\data\Dataset Exercise Quality-wise\push_up\bad\front\subject_013_push_up_bad_front.mp4,013,push_up,bad,front,test
