image,video,subject,exercise,split,frame
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000268.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,268
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000304.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,304
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000340.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,340
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000377.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,377
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000413.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,413
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_002_bicep_curl_bad_diagonal_frame_000450.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_002_bicep_curl_bad_diagonal.mp4,002,bicep_curl,train,450
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000047.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,47
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000081.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,81
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000116.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,116
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000151.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,151
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000185.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,185
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000220.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,220
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000255.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,255
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000290.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,290
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000324.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,324
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000359.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,359
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000394.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,394
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_003_bicep_curl_bad_diagonal_frame_000429.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_003_bicep_curl_bad_diagonal.mp4,003,bicep_curl,train,429
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000050.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,50
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000087.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,87
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000124.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,124
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000161.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,161
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000198.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,198
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000235.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,235
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000272.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,272
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000309.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,309
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000346.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,346
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000383.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,383
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000420.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,420
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_004_bicep_curl_bad_diagonal_frame_000458.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_004_bicep_curl_bad_diagonal.mp4,004,bicep_curl,train,458
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000048.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,48
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000083.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,83
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000118.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,118
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000153.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,153
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000188.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,188
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000223.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,223
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000259.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,259
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000294.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,294
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000329.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,329
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000364.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,364
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000399.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,399
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_005_bicep_curl_bad_diagonal_frame_000435.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_005_bicep_curl_bad_diagonal.mp4,005,bicep_curl,train,435
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000047.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,47
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000081.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,81
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000116.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,116
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000150.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,150
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000185.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,185
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000220.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,220
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000254.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,254
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000289.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,289
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000324.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,324
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000358.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,358
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000393.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,393
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_006_bicep_curl_bad_diagonal_frame_000428.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_006_bicep_curl_bad_diagonal.mp4,006,bicep_curl,val,428
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000047.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,47
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000081.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,81
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000115.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,115
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000149.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,149
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000183.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,183
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000217.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,217
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000252.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,252
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000286.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,286
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000320.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,320
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000354.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,354
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000388.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,388
C:\GymProject\prepared\exercise_type_v1\val\bicep_curl\subject_007_bicep_curl_bad_diagonal_frame_000423.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_007_bicep_curl_bad_diagonal.mp4,007,bicep_curl,val,423
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000047.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,47
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000081.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,81
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000116.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,116
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000150.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,150
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000185.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,185
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000220.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,220
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000254.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,254
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000289.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,289
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000324.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,324
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000358.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,358
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000393.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,393
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_008_bicep_curl_bad_diagonal_frame_000428.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_008_bicep_curl_bad_diagonal.mp4,008,bicep_curl,train,428
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_009_bicep_curl_bad_diagonal_frame_000046.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,train,46
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_009_bicep_curl_bad_diagonal_frame_000079.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,train,79
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_009_bicep_curl_bad_diagonal_frame_000113.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,train,113
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_009_bicep_curl_bad_diagonal_frame_000146.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,train,146
C:\GymProject\prepared\exercise_type_v1\train\bicep_curl\subject_009_bicep_curl_bad_diagonal_frame_000180.jpg,C:\GymProject\data\Dataset Exercise Quality-wise\bicep_curl\bad\diagonal\subject_009_bicep_curl_bad_diagonal.mp4,009,bicep_curl,train,180
